academic_year,term_no,grade_no,official_subject_id,off_criterion_id,description,short_label,criterion_score_max,weighting_of_split_pct,sba_of_yearmark_pct,criterion_type,split_no,is_exam,sort_order
2026,1,0,16,254073,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,16,254074,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,16,254075,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,113,254085,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,113,254086,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,113,254087,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,200,254097,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,200,254098,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,200,254099,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,234,254109,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,234,254110,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,234,254111,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,268,254121,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,268,254122,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,268,254123,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,309,253333,Beginning Knowledge & PSW,Beginning Knowledge & PSW,3.0,33.0,8.25,CASS,3,false,1
2026,1,0,309,253334,Creative Arts,Creative Arts,3.0,33.0,8.25,CASS,1,false,2
2026,1,0,309,253335,Physical Education,Physical Education,3.0,34.0,8.5,CASS,2,false,3
2026,1,0,322,253393,"1: Numbers, operations and relationships","1: Numbers, operations and relationships",3.0,65.0,16.25,CASS,1,false,1
2026,1,0,322,253394,"2: Patterns, functions and algebra","2: Patterns, functions and algebra",3.0,10.0,2.5,CASS,2,false,2
2026,1,0,322,253395,3: Space and shape (Geometry),3: Space and shape (Geometry),3.0,11.0,2.75,CASS,3,false,3
2026,1,0,322,253396,4: Measurement,4: Measurement,3.0,9.0,2.25,CASS,4,false,4
2026,1,0,322,253397,5: Data handling,5: Data handling,3.0,5.0,1.25,CASS,5,false,5
2026,1,0,389,254133,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,389,254134,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,389,254135,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,442,254145,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,442,254146,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,442,254147,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,476,254157,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,476,254158,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,476,254159,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,510,254169,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,510,254170,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,510,254171,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,592,254181,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,592,254182,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,592,254183,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,849,254193,Listening and speaking,Listening and speaking,11.0,60.0,15.0,CASS,1,false,1
2026,1,0,849,254194,Emergent reading,Emergent reading,3.0,20.0,5.0,CASS,2,false,2
2026,1,0,849,254195,Emergent writing,Emergent writing,3.0,20.0,5.0,CASS,3,false,3
2026,1,0,889,253273,Observing and Signing,Observing and Signing,3.0,60.0,10.0,CASS,1,false,1
2026,1,0,889,253274,Emergent reading,Emergent reading,3.0,20.0,8.0,CASS,2,false,2
2026,1,0,889,253275,Emergent recording,Emergent recording,3.0,20.0,7.0,CASS,3,false,3
2026,1,0,1727,254069,1,1,10.0,100.0,25.0,CASS,0,false,1
2026,1,0,1751,254205,General Development,General Development,3.0,50.0,12.5,CASS,0,false,1
2026,1,0,1751,254206,Perceptial Skills,Perceptial Skills,3.0,50.0,12.5,CASS,0,false,2
2026,1,0,1840,254725,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1840,254726,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1847,254757,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1847,254758,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1854,254789,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1854,254790,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1861,254821,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1861,254822,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1868,254853,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1868,254854,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1875,254885,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1875,254886,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1882,254917,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1882,254918,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1889,254949,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1889,254950,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1896,254981,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1896,254982,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1903,255013,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1903,255014,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1910,255045,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1910,255046,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1917,255077,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1917,255078,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,0,1987,255109,1,1,20.0,50.0,12.5,CASS,0,false,1
2026,1,0,1987,255110,2,2,20.0,50.0,12.5,CASS,0,false,2
2026,1,1,4,238764,Listening and speaking,Listening and speaking,10.0,60.0,15.0,CASS,1,false,1
2026,1,1,4,238765,Reading (Phonics and Comprehension),Reading (Phonics and Comprehension),10.0,40.0,10.0,CASS,3,false,2
2026,1,1,17,240117,1: Listening and speaking,1: Listening and speaking,10.0,25.0,6.25,CASS,1,false,1
2026,1,1,17,240118,2: Phonics,2: Phonics,10.0,20.0,5.0,CASS,4,false,2
2026,1,1,17,240119,3: Reading and comprehension,3: Reading and comprehension,10.0,25.0,6.25,CASS,3,false,3
2026,1,1,17,240120,4: Writing,4: Writing,10.0,20.0,5.0,CASS,5,false,4
2026,1,1,17,240121,5: Handwriting,5: Handwriting,5.0,10.0,2.5,CASS,6,false,5
2026,1,1,101,238772,Listening and speaking,Listening and speaking,10.0,60.0,15.0,CASS,1,false,1
2026,1,1,101,238773,Reading (Phonics and Comprehension),Reading (Phonics and Comprehension),10.0,40.0,10.0,CASS,3,false,2
2026,1,1,114,240137,1: Listening and speaking,1: Listening and speaking,10.0,25.0,6.25,CASS,1,false,1
2026,1,1,114,240138,2: Phonics,2: Phonics,10.0,20.0,5.0,CASS,4,false,2
2026,1,1,114,240139,3: Reading and comprehension,3: Reading and comprehension,10.0,25.0,6.25,CASS,3,false,3
2026,1,1,114,240140,4: Writing,4: Writing,10.0,20.0,5.0,CASS,5,false,4
2026,1,1,114,240141,5: Handwriting,5: Handwriting,5.0,10.0,2.5,CASS,6,false,5
2026,1,1,188,238780,Listening and speaking,Listening and speaking,10.0,60.0,15.0,CASS,1,false,1
2026,1,1,188,238781,Reading (Phonics and Comprehension),Reading (Phonics and Comprehension),10.0,40.0,10.0,CASS,3,false,2
2026,1,1,201,240157,1: Listening and speaking,1: Listening and speaking,10.0,25.0,6.25,CASS,1,false,1
2026,1,1,201,240158,2: Phonics,2: Phonics,10.0,20.0,5.0,CASS,4,false,2
2026,1,1,201,240159,3: Reading and comprehension,3: Reading and comprehension,10.0,25.0,6.25,CASS,3,false,3
2026,1,1,201,240160,4: Writing,4: Writing,10.0,20.0,5.0,CASS,5,false,4
2026,1,1,201,240161,5: Handwriting,5: Handwriting,5.0,10.0,2.5,CASS,6,false,5
2026,1,1,222,238788,Listening and speaking,Listening and speaking,10.0,60.0,15.0,CASS,1,false,1
2026,1,1,222,238789,Reading (Phonics and Comprehension),Reading (Phonics and Comprehension),10.0,40.0,10.0,CASS,3,false,2
2026,1,1,235,240177,1: Listening and speaking,1: Listening and speaking,10.0,25.0,6.25,CASS,1,false,1
2026,1,1,235,240178,2: Phonics,2: Phonics,10.0,20.0,5.0,CASS,4,false,2
2026,1,1,235,240179,3: Reading and comprehension,3: Reading and comprehension,10.0,25.0,6.25,CASS,3,false,3
2026,1,1,235,240180,4: Writing,4: Writing,10.0,20.0,5.0,CASS,5,false,4
2026,1,1,235,240181,5: Handwriting,5: Handwriting,5.0,10.0,2.5,CASS,6,false,5
2026,1,1,256,238796,Listening and speaking,Listening and speaking,10.0,60.0,15.0,CASS,1,false,1
2026,1,1,256,238797,Reading (Phonics and Comprehension),Reading (Phonics and Comprehension),10.0,40.0,10.0,CASS,3,false,2
2026,1,1,269,240197,1: Listening and speaking,1: Listening and speaking,10.0,25.0,6.25,CASS,1,false,1
2026,1,1,269,240198,2: Phonics,2: Phonics,10.0,20.0,5.0,CASS,4,false,2
2026,1,1,269,240199,3: Reading and comprehension,3: Reading and comprehension,10.0,25.0,6.25,CASS,3,false,3
2026,1,1,269,240200,4: Writing,4: Writing,10.0,20.0,5.0,CASS,5,false,4
2026,1,1,269,240201,5: Handwriting,5: Handwriting,5.0,10.0,2.5,CASS,6,false,5
2026,1,1,310,248499,Beginning Knowledge & PSW,Beginning Knowledge & PSW,25.0,40.0,10.0,CASS,3,false,1
2026,1,1,310,248500,Physical Education,Physical Education,10.0,30.0,7.5,CASS,2,false,2
2026,1,1,310,248501,Creative Arts,Creative Arts,20.0,30.0,7.5,CASS,1,false,3
2026,1,1,323,249174,Baseline Assessment,Baseline Assessment,10.0,0,0,CASS,0,false,1
2026,1,1,323,249175,"1: Numbers, operations and relationships","1: Numbers, operations and relationships",10.0,65.0,16.25,CASS,1,false,2
2026,1,1,323,249176,"2: Patterns, functions and algebra","2: Patterns, functions and algebra",5.0,10.0,2.5,CASS,2,false,3
2026,1,1,323,249177,3: Space and shape (Geometry),3: Space and shape (Geometry),5.0,11.0,2.75,CASS,3,false,4
2026,1,1,323,249178,4: Measurement,4: Measurement,5.0,9.0,2.25,CASS,4,false,5
2026,1,1,323,249179,5: Data handling,5: Data handling,2.0,5.0,1.25,CASS,5,false,6
2026,1,1,377,238804,Listening and speaking,Listening and speaking,10.0,60.0,15.0,CASS,1,false,1
2026,1,1,377,238805,Reading (Phonics and Comprehension),Reading (Phonics and Comprehension),10.0,40.0,10.0,CASS,3,false,2
2026,1,1,390,240217,1: Listening and speaking,1: Listening and speaking,10.0,25.0,6.25,CASS,1,false,1
2026,1,1,390,240218,2: Phonics,2: Phonics,10.0,20.0,5.0,CASS,4,false,2
2026,1,1,390,240219,3: Reading and comprehension,3: Reading and comprehension,10.0,25.0,6.25,CASS,3,false,3
2026,1,1,390,240220,4: Writing,4: Writing,10.0,20.0,5.0,CASS,5,false,4
2026,1,1,390,240221,5: Handwriting,5: Handwriting,5.0,10.0,2.5,CASS,6,false,5
2026,1,1,430,238812,Listening and speaking,Listening and speaking,10.0,60.0,15.0,CASS,1,false,1
2026,1,1,430,238813,Reading (Phonics and Comprehension),Reading (Phonics and Comprehension),10.0,40.0,10.0,CASS,3,false,2
2026,1,1,443,240237,1: Listening and speaking,1: Listening and speaking,10.0,25.0,6.25,CASS,1,false,1
