official_subject_id,grade_no,subj_key,name_english,report_label,has_report_splits,is_active
16,0,AFRI 0,Afrikaans Home Language,Afrikaans Home Language,false,true
1727,0,CODROB R,Coding and Robotics,Coding and Robotics,false,true
113,0,ENG 0,English Home Language,English Home Language,false,true
1751,0,Gen Dev R,General Development & Perceptual Skills,General Development & Perceptual Skills,false,true
200,0,ISIN 0,IsiNdebele Home Language,IsiNdebele Home Language,false,true
234,0,ISIX 0,IsiXhosa Home Language,IsiXhosa Home Language,false,true
268,0,ISIZ 0,IsiZulu Home Language,IsiZulu Home Language,false,true
309,0,LS 0,Life Skills,Life Skills,false,true
322,0,MATH 0,Mathematics,Mathematics,false,true
1917,0,LE Afr y6,O: Afrikaans (LE yr6),O: Afrikaans (LE yr6),false,true
1896,0,LE Art y6,O: Art (LE yr6),O: Art (LE yr6),false,true
1882,0,LE Bot y6,O: Botany (LE yr6),O: Botany (LE yr6),false,true
1840,0,LE Eng y6,O: English (LE yr6),O: English (LE yr6),false,true
1868,0,LE Geog y6,O: Geography (LE yr6),O: Geography (LE yr6),false,true
1854,0,LE geom y6,O: Geometry (LE yr6),O: Geometry (LE yr6),false,true
1861,0,LE Hist y6,O: History (LE yr6),O: History (LE yr6),false,true
1924,0,LE Ndeb y6,O: IsiNdebele (LE yr6),O: IsiNdebele (LE yr6),false,true
1931,0,LE Xh y6,O: IsiXhosa (LE yr6),O: IsiXhosa (LE yr6),false,true
1938,0,LE Zu y6,O: IsiZulu (LE yr6),O: IsiZulu (LE yr6),false,true
1847,0,LE Mat y6,O: Mathematics (LE yr6),O: Mathematics (LE yr6),false,true
1903,0,LE Mus y6,O: Music (LE yr6),O: Music (LE yr6),false,true
1910,0,LE PrLif y6,O: Practical Life (LE yr6),O: Practical Life (LE yr6),false,true
1875,0,LE Sci y6,O: Science (LE yr6),O: Science (LE yr6),false,true
1945,0,LE PEd y6,O: Sepedi (LE yr6),O: Sepedi (LE yr6),false,true
1952,0,LE Sot y6,O: Sesotho (LE yr6),O: Sesotho (LE yr6),false,true
1959,0,LE Tsw y6,O: Setswana (LE yr6),O: Setswana (LE yr6),false,true
1987,0,LE Sign y6,O: Sign Language (LE yr6),O: Sign Language (LE yr6),false,true
1966,0,LE Swa y6,O: Siswati (LE yr6),O: Siswati (LE yr6),false,true
1973,0,LE Ven y6,O: Tshivenda (LE yr6),O: Tshivenda (LE yr6),false,true
1980,0,LE Xit y6,O: Xitsonga (LE yr6),O: Xitsonga (LE yr6),false,true
1889,0,LE Zool y6,O: Zoology (LE yr6),O: Zoology (LE yr6),false,true
1752,0,PerSkil R,Perceptial Skills,Perceptial Skills,false,true
389,0,SEPE 0,Sepedi Home Language,Sepedi Home Language,false,true
442,0,SESO 0,Sesotho Home Language,Sesotho Home Language,false,true
476,0,SETS 0,Setswana Home Language,Setswana Home Language,false,true
510,0,SISW 0,SiSwati Home Language,SiSwati Home Language,false,true
889,0,SIGNHL 0,South African Sign Language,South African Sign Language,false,true
592,0,TSHI 0,Tshivenda Home Language,Tshivenda Home Language,false,true
849,0,XITS 0,Xitsonga Home Language,Xitsonga Home Language,false,true
4,1,AFAL 1,Afrikaans First Additional Language,Afrikaans First Additional Language,false,true
17,1,AFRI 1,Afrikaans Home Language,Afrikaans Home Language,false,true
1737,1,AFRHLA PR,Afrikaans Home Language (Pre Gr R),Afrikaans Home Language (Pre Gr R),false,true
1424,1,AFSAL 1,Afrikaans Second Additional Language,Afrikaans Second Additional Language,false,true
1728,1,CODROB 01,Coding and Robotics,Coding and Robotics,false,true
1774,1,ELNA,ELNA,ELNA,false,true
101,1,ENGAL 1,English First Additional Language,English First Additional Language,false,true
114,1,ENG 1,English Home Language,English Home Language,false,true
1738,1,ENGHLA PR,English Home Language (Pre Gr R),English Home Language (Pre Gr R),false,true
1427,1,ENGSAL 1,English Second Additional Language,English Second Additional Language,false,true
188,1,ISINFAL 1,IsiNdebele First Additional Language,IsiNdebele First Additional Language,false,true
201,1,ISIN 1,IsiNdebele Home Language,IsiNdebele Home Language,false,true
1739,1,NDEHLA PR,IsiNdebele Home Language (Pre Gr R),IsiNdebele Home Language (Pre Gr R),false,true
1430,1,ISINSAL 1,IsiNdebele Second Additional Language,IsiNdebele Second Additional Language,false,true
222,1,ISIXFAL 1,IsiXhosa First Additional Language,IsiXhosa First Additional Language,false,true
235,1,ISIX 1,IsiXhosa Home Language,IsiXhosa Home Language,false,true
1740,1,XHOHLA PR,IsiXhosa Home Language (Pre Gr R),IsiXhosa Home Language (Pre Gr R),false,true
1433,1,ISIXSAL 1,IsiXhosa Second Additional Language,IsiXhosa Second Additional Language,false,true
256,1,ISIZFAL 1,IsiZulu First Additional Language,IsiZulu First Additional Language,false,true
269,1,ISIZ 1,IsiZulu Home Language,IsiZulu Home Language,false,true
1741,1,ZULHLA PR,IsiZulu Home Language (Pre Gr R),IsiZulu Home Language (Pre Gr R),false,true
1436,1,ISIZSAL 1,IsiZulu Second Additional Language,IsiZulu Second Additional Language,false,true
310,1,LS 1,Life Skills,Life Skills,false,true
1742,1,LS PR,Life Skills (Pre Gr R),Life Skills (Pre Gr R),false,true
323,1,MATH 1,Mathematics,Mathematics,false,true
1743,1,MATH PR,Mathematics (Pre Gr R),Mathematics (Pre Gr R),false,true
1918,1,LE Afr y7,O: Afrikaans (LE yr7),O: Afrikaans (LE yr7),false,true
1897,1,LE Art y7,O: Art (LE yr7),O: Art (LE yr7),false,true
1883,1,LE Bot y7,O: Botany (LE yr7),O: Botany (LE yr7),false,true
1841,1,LE Eng y7,O: English (LE yr7),O: English (LE yr7),false,true
1869,1,LE Geog y7,O: Geography (LE yr7),O: Geography (LE yr7),false,true
1855,1,LE geom y7,O: Geometry (LE yr7),O: Geometry (LE yr7),false,true
1862,1,LE Hist y7,O: History (LE yr7),O: History (LE yr7),false,true
1925,1,LE Ndeb y7,O: IsiNdebele (LE yr7),O: IsiNdebele (LE yr7),false,true
1932,1,LE Xh y7,O: IsiXhosa (LE yr7),O: IsiXhosa (LE yr7),false,true
1939,1,LE Zu y7,O: IsiZulu (LE yr7),O: IsiZulu (LE yr7),false,true
1848,1,LE Mat y7,O: Mathematics (LE yr7),O: Mathematics (LE yr7),false,true
1904,1,LE Mus y7,O: Music (LE yr7),O: Music (LE yr7),false,true
1911,1,LE PrLif y7,O: Practical Life (LE yr7),O: Practical Life (LE yr7),false,true
1876,1,LE Sci y7,O: Science (LE yr7),O: Science (LE yr7),false,true
1946,1,LE PEd y7,O: Sepedi (LE yr7),O: Sepedi (LE yr7),false,true
